player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Jordan Greenway,MIN,0,0,0,0,0,2,0,0.0,20212022
Kevin Fiala,MIN,0,0,3,0,0,0,0,,20212022
Zachary Aston-Reese,PIT,0,0,0,0,0,0,1,,20212022
Sam Lafferty,PIT,0,0,0,0,0,0,1,,20212022
Kris Letang,PIT,0,1,3,2,0,0,0,,20212022
Shayne Gostisbehere,ARI,0,2,0,0,0,0,0,,20212022
Travis Boyd,ARI,0,0,0,1,6,8,0,42.857142857142854,20212022
Derek Grant,ANA,0,0,0,0,13,4,0,76.47058823529412,20212022
Derek Forbort,BOS,0,0,0,0,0,0,3,,20212022
Josh Anderson,MTL,0,0,1,3,0,0,1,,20212022
Rem Pitlick,MTL,0,0,2,0,0,1,0,0.0,20212022
Andrew Poturalski,CAR,0,0,0,0,1,1,0,50.0,20212022
Rasmus Kupari,LAK,0,0,1,0,0,0,0,,20212022
Viktor Arvidsson,LAK,0,0,0,1,0,0,0,,20212022
Christian Wolanin,LAK,0,1,0,0,0,0,0,,20212022
Olli Maatta,LAK,1,0,0,0,0,0,0,,20212022
Brendan Lemieux,LAK,0,0,0,1,0,0,1,,20212022
Stefan Noesen,CAR,0,0,0,1,0,0,0,,20212022
Victor Mete,OTT,0,0,0,0,0,0,1,,20212022
Filip Forsberg,NSH,0,1,1,0,0,0,0,,20212022
Roman Josi,NSH,1,0,0,0,0,0,1,,20212022
Zach Werenski,CBJ,0,1,0,0,0,0,0,,20212022
Trevor Lewis,CGY,0,1,0,0,0,0,0,,20212022
Nathan MacKinnon,COL,0,0,1,2,1,5,0,16.666666666666664,20212022
Mark Kastelic,OTT,0,0,0,0,2,0,0,100.0,20212022
Alex Formenton,OTT,0,1,3,0,0,0,0,,20212022
Jack Roslovic,CBJ,0,0,0,1,9,3,0,75.0,20212022
Patrik Laine,CBJ,0,0,2,0,1,3,0,25.0,20212022
Gustav Nyquist,CBJ,0,0,0,0,1,0,1,100.0,20212022
Peyton Krebs,BUF,0,0,3,0,8,5,1,61.53846153846154,20212022
