player,team,season,TOI,position,xPKS,PKS,xga_per60,ga_per60,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,sh_goals_per60,Rank,gap
Noah Cates,PHI,20242025,111.53333333333,L,11.6,7.7,7.283921099820898,6.9934249850569925,0.0,0.0,0.0,0.0,117,-3.8999999999999995
Justin Faulk,STL,20242025,102.48333333333,D,11.6,9.8,7.429500731826555,7.025532606928185,0.5854610505773488,0.0,0.5854610505773488,0.0,118,-1.799999999999999
Brandon Hagel,T.B,20242025,149.83333333333,L,11.5,14.0,8.905895439377284,5.606229143492895,0.800889877641842,0.0,1.601779755283684,0.800889877641842,119,2.5
Zach Whitecloud,VGK,20242025,78.066666666667,D,11.5,3.1,6.3714773697694,7.685738684884681,0.0,0.0,0.0,0.0,120,-8.4
Conor Timmins,"PIT, TOR",20242025,112.96666666667,D,11.4,11.8,6.8356447329593735,6.9046916494539134,0.0,0.0,0.0,0.0,121,0.40000000000000036
Kaiden Guhle,MTL,20242025,113.31666666667,D,11.3,16.6,5.459038093837169,3.1769377849682843,0.0,0.0,0.0,0.0,122,5.300000000000001
Devon Toews,COL,20242025,170.66666666667,D,11.2,14.1,8.036718749999842,6.328124999999876,1.0546874999999791,0.0,0.0,0.0,123,2.9000000000000004
Teddy Blueger,VAN,20242025,165.88333333333,C,11.0,20.0,8.221440771626812,2.893599919622283,0.0,0.0,0.0,0.0,124,9.0
Josh Manson,COL,20242025,67.8,D,11.0,5.3,6.9115044247787605,8.849557522123893,0.0,0.0,0.0,0.0,125,-5.7
Alec Martinez,CHI,20242025,60.383333333333,D,11.0,15.4,7.571625724537718,4.968258349434198,0.0,0.0,0.0,0.0,126,4.4
Brandon Carlo,"BOS, TOR",20242025,205.76666666667,D,10.9,0.9,7.864247529564104,10.497327069496023,0.0,0.0,0.0,0.0,127,-10.0
Marcus Pettersson,"PIT, VAN",20242025,191.7,D,10.9,11.6,6.888888888888889,7.198748043818466,0.0,0.0,0.0,0.0,128,0.6999999999999993
Steven Lorentz,TOR,20242025,91.083333333333,C,10.9,12.6,5.665141811527925,6.587374199451076,0.0,0.0,0.0,0.6587374199451076,129,1.6999999999999993
Erik Cernak,T.B,20242025,169.65,D,10.8,11.8,7.685234305923961,6.719717064544651,0.0,0.0,0.0,0.0,130,1.0
Shane Pinto,OTT,20242025,133.9,C,10.8,12.6,7.864077669902913,7.617625093353248,0.0,0.0,0.4480955937266617,1.344286781179985,131,1.799999999999999
