player,birth_date
Conor Timmins,1998-09-18
Denton Mateychuk,2004-07-12
Thomas Harley,2001-08-19
Cole Koepke,1998-05-17
Morgan Barron,1998-12-02
Dakota Joshua,1996-05-15
Taylor Raddysh,1998-02-18
Nathan Beaulieu,1997-12-06
Andy Greene,2003-10-21
Dominic Toninato,1994-03-09
Curtis Lazar,1995-02-02
Kiefer Sherwood,1995-03-31
Dougie Hamilton,1993-06-17
Calvin de Haan,1992-04-15
Joel Kiviranta,1991-06-08
Erik Brannstrom,1992-03-14
Kyle Connor,1996-12-09
Barrett Hayton,2000-06-09
Nicolas Roy,1997-02-05
Jake Guentzel,2005-03-27
Albert Johansson,2001-01-04
Jeff Carter,1987-12-09
Oskar Back,2000-03-12
Auston Matthews,1997-09-17
Matthew Robertson,2001-03-09
Vladislav Namestnikov,1992-11-22
Matthew Knies,2000-06-23
Duncan Keith,
Tyler Kleven,2002-01-10
Ethan Bear,1997-06-26
Alexey Toropchenko,1999-06-25
Mark Jankowski,1994-09-13
Justin Hryckowian,2001-02-23
Jacob Middleton,2002-02-02
Jacob Bernard-Docker,2002-02-02
Andrew Mangiapane,1996-04-04
Kyle Okposo,1999-04-29
Josh Archibald,1994-05-07
Sean Durzi,1998-10-21
Connor McDavid,1997-01-13
Rasmus Sandin,2000-03-07
Martin Necas,1999-01-15
Mark Borowiecki,1994-09-13
Shea Theodore,1995-08-03
Evgeny Kuznetsov,2002-03-09
Timothy Liljegren,1999-04-30
Dillon Dube,1990-11-13
Noah Juulsen,1997-04-02
Zach Aston-Reese,1990-07-15
Juho Lammikko,
Carl Hagelin,1997-12-01
Justin Danforth,1993-03-15
Quinn Hughes,2004-08-08
Adam Erne,1995-04-20
Oskar Sundqvist,1994-03-23
Yan Kuznetsov,2002-03-09
Nicolas Deslauriers,1991-02-22
Jansen Harkins,1997-05-23
Boone Jenner,1993-06-15
Rasmus Dahlin,2000-03-07
Isac Lundeström,1999-11-06
Spencer Stastney,2000-01-04
Anthony Beauvillier,1997-06-08
Jesper Boqvist,1998-10-30
Jaycob Megna,1992-12-10
Kailer Yamamoto,1998-09-29
Jordan Harris,2000-07-07
Roope Hintz,1996-11-17
Joe Veleno,2000-01-13
Danton Heinen,1995-07-05
Brayden Pachal,1999-08-23
Paul Stastny,1999-11-16
Miles Wood,1995-09-13
Cameron Atkinson,1996-10-09
Brett Howden,1998-03-29
Loui Eriksson,2004-11-05
Jonathan Toews,1988-04-29
William Eklund,2002-10-12
Torey Krug,1991-04-12
Michael Amadio,1996-05-13
Jarred Tinordi,
Antoine Roussel,2004-10-06
Saku Maenalanen,
Drew Helleson,2002-07-19
Conor Garland,1996-03-11
Kasperi Kapanen,1996-07-23
Mark Stone,1992-05-13
Matthew Schaefer,2007-09-05
Cody Eakin,1993-12-21
Noah Laba,2003-08-04
Alexander Nikishin,2001-10-02
Rafael Harvey-Pinard,
Evan Rodrigues,1993-07-28
Marat Khusnutdinov,2002-07-17
Kyle Palmieri,1991-02-01
Logan Cooley,2004-05-04
Alexander Edler,2001-07-31
Luke Hughes,2003-09-09
Travis Boyd,1993-09-14
Mason Shaw,1998-11-03
Kyle Burroughs,1995-07-12
Ben Meyers,1998-11-15
Tye Kartye,2001-04-30
Ivan Barbashev,2002-08-20
Jujhar Khaira,
Henry Thrun,2001-03-12
Jamie Benn,1989-07-18
Josh Bailey,1994-05-07
Nils Aman,2000-02-07
Ryan Hartman,1994-09-20
Eeli Tolvanen,1999-04-22
Brandon Saad,1992-10-27
Emil Lilleberg,2001-02-02
Jakob Chychrun,1998-03-31
Roman Josi,1990-06-01
Cody Glass,1999-04-01
William Nylander,1996-05-01
Gustav Lindstrom,2002-10-12
Jake Bean,1998-06-09
Alex Goligoski,1997-12-18
Tyler Toffoli,1992-04-24
Kirby Dach,2001-01-21
Sam Bennett,1996-06-20
Patrick Brown,1992-05-29
Clayton Keller,1998-07-29
Tobias Bjornfot,1999-02-13
Tyler Tucker,2000-03-01
Andreas Englund,1996-01-21
Tyson Foerster,2002-01-18
Fredrik Olofsson,1995-07-18
Josh Morrissey,1995-03-28
Tyler Seguin,1992-01-31
Kevin Fiala,2006-04-30
Pierre Engvall,1996-05-31
Tim Washe,2001-08-25
Mathieu Olivier,1997-02-11
Rasmus Kupari,2000-03-07
Frank Nazar,2004-01-14
Tony DeAngelo,1995-10-24
Nikolas Matinpalo,1998-10-05
Shakir Mukhamadullin,2002-01-10
Brayden Schenn,1991-01-21
Noah Gregor,1998-07-28
Rudolfs Balcers,
Shayne Gostisbehere,1993-04-20
Nate Thompson,2002-11-26
David Gustafsson,2000-04-11
Riley Nash,2002-08-17
Zack Ostapchuk,2003-05-29
Joel Hanley,1991-06-08
Brandon Montour,1994-04-11
Ryker Evans,2001-12-13
Liam Foudy,2000-02-04
Olen Zellweger,2003-09-10
Darren Raddysh,1996-02-28
P.K. Subban,
Zach Benson,1990-07-15
Rourke Chartier,
Jonathan Aspirot,1999-05-16
Jay Beagle,
Sam Dickinson,2006-06-07
Mikael Pyyhtia,1989-03-17
Ryan Winterton,2003-09-04
Tyler Bozak,1991-11-01
Tage Thompson,1997-10-30
Ryan Lomberg,1994-12-09
Leon Draisaitl,1995-10-27
Oskar Lindblom,2000-03-12
Brock Boeser,1997-02-25
Arber Xhekaj,2001-01-30
Phillip Di Giuseppe,1993-10-09
Ondrej Kase,2006-03-07
Johan Larsson,1991-07-17
Tucker Poolman,2000-03-01
Boris Katchouk,1998-06-18
Reese Johnson,2003-11-20
Leo Carlsson,2004-12-26
Marco Kasper,2004-04-08
Victor Mete,1995-07-18
Philipp Kurashev,1999-10-12
Janne Kuokkanen,2005-03-22
Sam Malinski,1998-07-27
Lucas Raymond,2006-03-12
